title	year	rank	watched
The Departed		-99	1
The Devil Wears Prada		-99	1
The Devil's Own 	1997	-99	1
The Doors		-99	1
The Drop		-99	1
The English Patient 	1996	-99	1
The Equalizer		-99	1
The Expendables		-99	1
The Express		-99	1
The Family Man		-99	1
The Family		-99	1
The Fast and the Furious 	2001	-99	1
The Fighter		-99	1
The Final Cut		-99	1
The First Time 	2012	-99	1
The Five-Year Engagement		-99	1
The Flowers of War		-99	0
The Fly 	1986	-99	1
The Forger		-99	1
The Fountain		-99	1
The Freshman		-99	1
The Fugitive 	1993	-99	1
The Full Monty		-99	1
The Game		-99	1
The General's Daughter 	1999	-99	1
The Girl in the Park		-99	1
The Girl With The Dragon Tattoo		-99	1
The Godfather 	1972	-99	1
The Godfather: Part II 	1974	-99	1
The Godfather: Part III 	1990	-99	1
The Good Girl		-99	1
The Good Night		-99	1
The Good Shepherd		-99	1
The Good, the Bad and the Ugly 	1966	-99	1
The Goonies		-99	1
The Graduate		-99	1
The Grand Budapest Hotel 	2014	-99	1
The Great Escape		-99	1
The Great Gatsby 	1974	-99	1
The Great Gatsby 	2013	-99	1
The Great Outdoors		-99	1
The Great Raid		-99	1
The Green Mile		-99	1
The Grey		-99	1
The Hangover Part III		-99	1
The Hunt for Red October		-99	1
The Hurricane		-99	1
The Illusionist		-99	1
The Imaginarium of Doctor Parnassus		-99	1
The Imitation Game		-99	1
The Immigrant		-99	1
The Incredible Hulk		-99	1
The Incredibles		-99	1
The Informers		-99	1
The Insider 	1999	-99	1
The Intern		-99	1
The Internship		-99	1
The Interpreter		-99	1
The Iron Giant		-99	1
The Island		-99	1
The Jackal		-99	1
The Jerk		-99	1
The Judge		-99	1
The Jungle Book 	2016	-99	1
The Kid		-99	1
The Kings of Summer		-99	1
The King's Speech		-99	1
The Ladykillers		-99	1
The Last King of Scotland		-99	1
The Last Kiss		-99	1
The Last Samurai		-99	1
The Last Stand		-99	1
The Legend of Zorro 	2005	-99	1
The Liability		-99	1
The Libertine		-99	1
The Life and Death of Peter Sellers		-99	1
The Life Aquatic with Steve Zissou		-99	1
The Life of David Gale		-99	1
The Lobster		-99	1
The Long Kiss Goodnight		-99	1
The Longest Ride 	2015	-99	1
The Longest Yard		-99	1
The Magic of Belle Isle		-99	1
The Man In The Iron Mask		-99	1
The Man in the Moon		-99	1
The Man with The Golden Arm 	1955	-99	1
The Martian		-99	1
The Mask		-99	1
The Matador		-99	1
The Matrix		-99	1
The Mechanic 	2011	-99	1
The Merchant of Venice		-99	1
The Mexican		-99	1
The Miracle Worker 	1962	-99	1
The Missing		-99	1
The Mission		-99	1
The Money Pit		-99	1
The Monuments Men		-99	1
The Mosquito Coast		-99	0
The Necessary Death Of Charlie Countryman		-99	1
The New Guy		-99	1
The New World		-99	1
The Next Three Days		-99	1
The Nice Guys 	2016	-99	1
The Night Listener		-99	0
The November Man		-99	1
The Old Man and The Sea 	1958	-99	1
The Other Guys		-99	1
The Others		-99	1
The Package 	1989	-99	1
The Painted Veil		-99	1
The Patriot		-99	1
The People vs Larry Flynt		-99	1
The Perks Of Being A Wallflower		-99	1
The Place Beyond the Pines		-99	1
The Prestige		-99	1
TRON: Legacy		-99	1
Tropic Thunder 	2008	-99	1
Trouble with the Curve		-99	1
Troy		-99	1
True Lies		-99	1
True Romance		-99	1
True Story		-99	1
Trumbo		-99	1
Turner & Hooch 	1989	-99	1
Twin Peaks - Fire Walk with Me 		-99	1
Twister		-99	1
Two For The Money		-99	1
Two Hands		-99	1
Two Lovers		-99	1
The Rover		-99	1
The Royal Tenenbaums		-99	1
The Rum Diary		-99	1
The Runaways 	2010	-99	1
The Saint 	1997	-99	1
The Salton Sea		-99	1
The Sandlot		-99	1
The Score		-99	1
The Scout		-99	1
The Shawshank Redemption		-99	1
The Shining		-99	1
The Silence Of The Lambs		-99	1
The Sixth Sense		-99	1
The Spectacular Now 	2013	-99	1
The Squid and the Whale		-99	0
The Sum Of All Fears		-99	1
The Sunset Limited		-99	1
The Sure Thing		-99	1
The Terminal		-99	1
The Thin Red Line		-99	1
The Thomas Crown Affair		-99	1
The To Do List		-99	1
The Town		-99	1
The Transporter 	2002	-99	1
The Transporter		-99	1
The Tree of Life		-99	1
The Trench		-99	1
The Two Faces of January		-99	1
The Ugly Truth		-99	1
The Usual Suspects		-99	1
The Virgin Suicides		-99	1
The Wackness		-99	1
The Watch		-99	1
The Water Diviner		-99	1
The Waterboy		-99	1
The Way Back		-99	1
The Way Way Back		-99	1
The Way		-99	1
The Weather Man		-99	1
The Wedding Singer		-99	1
The Whole Nine Yards		-99	1
The Whole Ten Yards		-99	1
The Wicker Man		-99	1
The Wolverine 	2013	-99	1
The Wrestler		-99	1
Thelma & Louise 	1991	-99	1
There Will Be Blood		-99	1
There's Something About Mary		-99	1
They Call Me Mister Tibbs 	1970	-99	0
Thin Ice		-99	1
Thirteen		-99	1
This Boy's Life		-99	1
This Is 40		-99	1
This Is England	2006	-99	1
This Is Spinal Tap 	1984	-99	1
This is the End		-99	1
This Means War		-99	1
Thor - The Dark World		-99	1
Throw Momma from the Train		-99	1
Thumbsucker		-99	1
Time Bandits		-99	1
Tin Cup  	1996	-99	1
To Die For		-99	1
To Wong Foo Thanks for Everything, Julie Newmar 	1995	-99	1
Tombstone		-99	1
Tommy Boy		-99	1
Too Big to Fail		-99	1
Top Gun		-99	1
Total Recall		-99	1
Tower Heist		-99	1
Toy Story 2		-99	1
Toy Story 3		-99	1
Toy Story		-99	1
Traffic		-99	1
Trainspotting		-99	1
Transporter 2 	2005	-99	1
Transporter 3		-99	1
Travelling Salesman		-99	1
Tremors		-99	1
U Turn		-99	1
U-571		-99	1
Unbreakable		-99	1
Uncertainty		-99	1
Uncle Buck		-99	1
Under the Mountain		-99	1
Under the Skin		-99	1
Under the Tuscan Sun		-99	1
Unknown		-99	1
Unthinkable		-99	1
Up In The Air		-99	1
Up		-99	1
V for Vendetta		-99	1
Valentines Day		-99	1
Valkyrie		-99	1
Van Wilder 2: The Rise of Taj		-99	1
Van Wilder		-99	1
Volcano		-99	1
Wag the Dog		-99	1
Waiting...		-99	1
Walk Of Shame		-99	1
Walk the Line		-99	1
Wall Street: Money Never Sleeps		-99	1
Wall Street		-99	1
WALL-E		-99	1
The Hunley		-99	1
The Legend of Tarzan 	2016	-99	1
The Man Who Wasn't There		-99	1
The Natural		-99	1
The Rookie 	2002	-99	1
The Social Network		-99	1
The Truman Show		-99	1
The Wolf of Wall Street		-99	1
Thor		-99	1
Two Night Stand 	2014	-99	1
U.S. Marshals 	1998	-99	1
Wanderlust		-99	1
What to Expect When You're Expecting		-99	1
Wish You Were Here		-99	1
Wanted		-99	1
War Dogs		-99	1
War Games		-99	1
War of the Worlds		-99	1
Warm Bodies		-99	1
Warrior 	2011	-99	1
Watchmen		-99	1
We Bought A Zoo		-99	1
We Were Soldiers		-99	1
We're the Millers		-99	1
Wedding Crashers		-99	1
Wet Hot American Summer		-99	1
What About Bob		-99	1
What Happens In Vegas 	2008	-99	1
What If 	2013	-99	1
What Maisie Knew 	2012	-99	1
What Women Want		-99	1
What's The Worst That Could Happen		-99	1
What's Your Number		-99	1
What's Eating Gilbert Grape		-99	1
When Harry Met Sally		-99	1
Where the Truth Lies		-99	1
Whiplash		-99	1
White Men Can't Jump		-99	1
Whitey: United States of America v. James J. Bulger		-99	1
Wild Card		-99	1
Wimbledon		-99	1
Winter's Bone		-99	1
Women in Trouble 		-99	1
Wonder Boys		-99	1
Wonderland		-99	1
World War Z		-99	1
X-Men: Days of Future Past 	2014	-99	1
X-Men: The Last Stand		-99	1
X-Men 2		-99	1
xXx		-99	1
Yes Man		-99	1
You Don't Know Jack 	2010	-99	1
You've Got Mail		-99	1
Youth in Revolt		-99	1
Zack and Miri Make a Porno		-99	1
Zodiac		-99	1
Zombieland		-99	1
A Fish Called Wanda		-99	1
A Good Year		-99	1
A Hologram for the King		-99	1
A Kid In King Arthur's Court		-99	1
A League of Their Own		-99	1
A Life Less Ordinary		-99	1
A Mighty Heart		-99	1
A Most Violent Year		-99	1
A Most Wanted Man		-99	1
A River Runs Through It		-99	1
A Time to Kill		-99	1
A Walk Among the Tombstones		-99	1
A.C.O.D.		-99	1
A.I. Artificial Intelligence		-99	1
About A Boy		-99	1
Hunger		-99	1
I Am Legend		-99	1
I Am Number Four		-99	1
I Hope They Serve Beer in Hell		-99	1
I Love You Phillip Morris		-99	1
I Love You, Man		-99	1
I Now Pronounce You Chuck & Larry		-99	1
I, Robot		-99	1
Identity 	2003	-99	1
Idiocracy		-99	1
Igby Goes Down		-99	1
I'm Not There.		-99	1
