title	year	rank	watched
Before We Go 	2014	-99	1
Begin Again		-99	1
Being Flynn		-99	1
Belly		-99	1
Bernie		-99	1
Best Man Down		-99	1
Better Off Dead		-99	1
Bicentennial Man		-99	1
Big Daddy		-99	1
Big Fish		-99	1
Big Momma's House 2 	2006	-99	1
Big Momma's House 	2000	-99	1
Big Mommas: Like Father, Like Son 	2011	-99	1
Big Nothing		-99	1
Big		-99	1
Billy Madison		-99	1
Birdman		-99	1
Black Hawk Down		-99	1
Black Mass		-99	1
Black Sea		-99	1
Black Snake Moan		-99	1
Black Swan		-99	1
Blade Runner 	1997	-99	1
Blazing Saddles		-99	1
Blended 	2014	-99	1
Blitz 	2011	-99	0
Blood Diamond		-99	1
Blood Ties		-99	1
Blow		-99	1
Blown Away 	1994	-99	1
Blue Valentine		-99	1
Bone Tomahawk		-99	1
Boogie Nights		-99	1
Braveheart		-99	1
Breach		-99	1
Breakfast At Tiffany's 	1961	-99	1
Brick		-99	1
Calvary		-99	1
Candy		-99	1
Cape Fear 	1991	-99	1
Capote		-99	1
Captain America: Civil War 	2016	-99	1
Captain America: The First Avenger		-99	1
Captain America: The Winter Soldier		-99	1
Captain Fantastic 	2016	-99	1
Career Opportunities		-99	1
Casablanca		-99	1
Casino Jack		-99	1
Casino		-99	1
Cassandra's Dream		-99	1
Cast Away		-99	1
Catch .44		-99	1
Catch Me If You Can		-99	1
CB4		-99	1
CBGB		-99	1
Cedar Rapids		-99	1
Celeste & Jesse Forever 	2012	-99	0
Central Intelligence 	2016	-99	1
Certain Women 	2016	-99	1
Chain Reaction		-99	1
Charlie Bartlett		-99	1
Charlie Wilson's War 	2007	-99	1
Charly 	1968	-99	1
Chasing Amy		-99	1
Chef		-99	1
Chicago 	2002	-99	0
Children Of Men		-99	1
Chocolat		-99	0
Cinderella Man		-99	1
Citizen Kane		-99	1
Citizen Ruth		-99	1
Citizenfour		-99	1
City by the Sea		-99	1
City of God		-99	1
City Slickers		-99	1
Clean and Sober  	1988	-99	0
Clear and Present Danger		-99	1
Clerks II		-99	1
Clerks		-99	1
Click		-99	1
Clockers		-99	1
Cloud Atlas		-99	1
Coach Carter		-99	1
Cobb 	1994	-99	0
Codebreaker		-99	1
Collateral		-99	1
Colors		-99	1
Con Air		-99	1
Conspiracy Theory		-99	1
Contact		-99	1
Contagion		-99	1
Contraband		-99	1
Cool Hand Luke		-99	1
Couples Retreat		-99	1
Cradle Will Rock		-99	1
