,avg_drop,avg_gross,best_gross,best_movie,best_pcttotal,month,month_name,num_movies,pctyr_totalgross,total_tickets,year
37,-43.5%,$57.5,$262.0,Harry Potter / Chamber of Secrets,28.5%,4,NOVEMBER,16,10.4%,$920.2,2002
38,-42.3%,$33.6,$129.1,The Ring,27.5%,4,OCTOBER,14,5.3%,$469.9,2002
39,-44.4%,$35.6,$127.2,Sweet Home Alabama,29.8%,4,SEPTEMBER,12,4.8%,$426.8,2002
40,-45.6%,$60.3,$228.0,Signs,25.2%,4,AUGUST,15,10.3%,$904.8,2002
41,-47.4%,$67.3,$213.3,Goldmember,26.4%,4,JULY,12,9.2%,$807.3,2002
42,-49.2%,$84.7,$153.3,Scooby-Doo,18.1%,4,JUNE,10,9.6%,$847.2,2002
43,-38.4%,$98.3,$403.7,Spider-Man,34.2%,4,MAY,12,13.4%,"$1,179.4",2002
44,-46.9%,$32.5,$241.4,My Big Fat Greek Wedding,74.2%,4,APRIL,10,3.7%,$325.3,2002
45,-43.2%,$55.3,$176.4,Ice Age,21.3%,4,MARCH,15,9.4%,$829.9,2002
46,-36.1%,$31.5,$71.8,John Q.,17.5%,4,FEBRUARY,13,4.6%,$409.4,2002
47,-30.4%,$57.4,$81.2,Snow Dogs,11.8%,4,JANUARY,12,7.8%,$689.2,2002
48,-30.1%,$83.2,$339.8,Two Towers,34.1%,5,DECEMBER,12,11.3%,$997.8,2002
49,-43.5%,$57.5,$262.0,Harry Potter / Chamber of Secrets,28.5%,5,NOVEMBER,16,10.4%,$920.2,2002
50,-42.3%,$33.6,$129.1,The Ring,27.5%,5,OCTOBER,14,5.3%,$469.9,2002
51,-44.4%,$35.6,$127.2,Sweet Home Alabama,29.8%,5,SEPTEMBER,12,4.8%,$426.8,2002
52,-45.6%,$60.3,$228.0,Signs,25.2%,5,AUGUST,15,10.3%,$904.8,2002
53,-47.4%,$67.3,$213.3,Goldmember,26.4%,5,JULY,12,9.2%,$807.3,2002
54,-49.2%,$84.7,$153.3,Scooby-Doo,18.1%,5,JUNE,10,9.6%,$847.2,2002
55,-38.4%,$98.3,$403.7,Spider-Man,34.2%,5,MAY,12,13.4%,"$1,179.4",2002
56,-46.9%,$32.5,$241.4,My Big Fat Greek Wedding,74.2%,5,APRIL,10,3.7%,$325.3,2002
57,-43.2%,$55.3,$176.4,Ice Age,21.3%,5,MARCH,15,9.4%,$829.9,2002
58,-36.1%,$31.5,$71.8,John Q.,17.5%,5,FEBRUARY,13,4.6%,$409.4,2002
59,-30.4%,$57.4,$81.2,Snow Dogs,11.8%,5,JANUARY,12,7.8%,$689.2,2002
60,-30.1%,$83.2,$339.8,Two Towers,34.1%,6,DECEMBER,12,11.3%,$997.8,2002
61,-43.5%,$57.5,$262.0,Harry Potter / Chamber of Secrets,28.5%,6,NOVEMBER,16,10.4%,$920.2,2002
62,-42.3%,$33.6,$129.1,The Ring,27.5%,6,OCTOBER,14,5.3%,$469.9,2002
63,-44.4%,$35.6,$127.2,Sweet Home Alabama,29.8%,6,SEPTEMBER,12,4.8%,$426.8,2002
64,-45.6%,$60.3,$228.0,Signs,25.2%,6,AUGUST,15,10.3%,$904.8,2002
65,-47.4%,$67.3,$213.3,Goldmember,26.4%,6,JULY,12,9.2%,$807.3,2002
66,-49.2%,$84.7,$153.3,Scooby-Doo,18.1%,6,JUNE,10,9.6%,$847.2,2002
67,-38.4%,$98.3,$403.7,Spider-Man,34.2%,6,MAY,12,13.4%,"$1,179.4",2002
68,-46.9%,$32.5,$241.4,My Big Fat Greek Wedding,74.2%,6,APRIL,10,3.7%,$325.3,2002
69,-43.2%,$55.3,$176.4,Ice Age,21.3%,6,MARCH,15,9.4%,$829.9,2002
70,-36.1%,$31.5,$71.8,John Q.,17.5%,6,FEBRUARY,13,4.6%,$409.4,2002
71,-30.4%,$57.4,$81.2,Snow Dogs,11.8%,6,JANUARY,12,7.8%,$689.2,2002
72,-30.1%,$83.2,$339.8,Two Towers,34.1%,7,DECEMBER,12,11.3%,$997.8,2002
73,-43.5%,$57.5,$262.0,Harry Potter / Chamber of Secrets,28.5%,7,NOVEMBER,16,10.4%,$920.2,2002
74,-42.3%,$33.6,$129.1,The Ring,27.5%,7,OCTOBER,14,5.3%,$469.9,2002
75,-44.4%,$35.6,$127.2,Sweet Home Alabama,29.8%,7,SEPTEMBER,12,4.8%,$426.8,2002
76,-45.6%,$60.3,$228.0,Signs,25.2%,7,AUGUST,15,10.3%,$904.8,2002
77,-47.4%,$67.3,$213.3,Goldmember,26.4%,7,JULY,12,9.2%,$807.3,2002
78,-49.2%,$84.7,$153.3,Scooby-Doo,18.1%,7,JUNE,10,9.6%,$847.2,2002
79,-38.4%,$98.3,$403.7,Spider-Man,34.2%,7,MAY,12,13.4%,"$1,179.4",2002
80,-46.9%,$32.5,$241.4,My Big Fat Greek Wedding,74.2%,7,APRIL,10,3.7%,$325.3,2002
81,-43.2%,$55.3,$176.4,Ice Age,21.3%,7,MARCH,15,9.4%,$829.9,2002
82,-36.1%,$31.5,$71.8,John Q.,17.5%,7,FEBRUARY,13,4.6%,$409.4,2002
83,-30.4%,$57.4,$81.2,Snow Dogs,11.8%,7,JANUARY,12,7.8%,$689.2,2002
84,-30.1%,$83.2,$339.8,Two Towers,34.1%,8,DECEMBER,12,11.3%,$997.8,2002
85,-43.5%,$57.5,$262.0,Harry Potter / Chamber of Secrets,28.5%,8,NOVEMBER,16,10.4%,$920.2,2002
86,-42.3%,$33.6,$129.1,The Ring,27.5%,8,OCTOBER,14,5.3%,$469.9,2002
87,-44.4%,$35.6,$127.2,Sweet Home Alabama,29.8%,8,SEPTEMBER,12,4.8%,$426.8,2002
88,-45.6%,$60.3,$228.0,Signs,25.2%,8,AUGUST,15,10.3%,$904.8,2002
89,-47.4%,$67.3,$213.3,Goldmember,26.4%,8,JULY,12,9.2%,$807.3,2002
90,-49.2%,$84.7,$153.3,Scooby-Doo,18.1%,8,JUNE,10,9.6%,$847.2,2002
91,-38.4%,$98.3,$403.7,Spider-Man,34.2%,8,MAY,12,13.4%,"$1,179.4",2002
92,-46.9%,$32.5,$241.4,My Big Fat Greek Wedding,74.2%,8,APRIL,10,3.7%,$325.3,2002
93,-43.2%,$55.3,$176.4,Ice Age,21.3%,8,MARCH,15,9.4%,$829.9,2002
94,-36.1%,$31.5,$71.8,John Q.,17.5%,8,FEBRUARY,13,4.6%,$409.4,2002
95,-30.4%,$57.4,$81.2,Snow Dogs,11.8%,8,JANUARY,12,7.8%,$689.2,2002
96,-30.1%,$83.2,$339.8,Two Towers,34.1%,9,DECEMBER,12,11.3%,$997.8,2002
97,-43.5%,$57.5,$262.0,Harry Potter / Chamber of Secrets,28.5%,9,NOVEMBER,16,10.4%,$920.2,2002
98,-42.3%,$33.6,$129.1,The Ring,27.5%,9,OCTOBER,14,5.3%,$469.9,2002
99,-44.4%,$35.6,$127.2,Sweet Home Alabama,29.8%,9,SEPTEMBER,12,4.8%,$426.8,2002
100,-45.6%,$60.3,$228.0,Signs,25.2%,9,AUGUST,15,10.3%,$904.8,2002
101,-47.4%,$67.3,$213.3,Goldmember,26.4%,9,JULY,12,9.2%,$807.3,2002
102,-49.2%,$84.7,$153.3,Scooby-Doo,18.1%,9,JUNE,10,9.6%,$847.2,2002
103,-38.4%,$98.3,$403.7,Spider-Man,34.2%,9,MAY,12,13.4%,"$1,179.4",2002
104,-46.9%,$32.5,$241.4,My Big Fat Greek Wedding,74.2%,9,APRIL,10,3.7%,$325.3,2002
105,-43.2%,$55.3,$176.4,Ice Age,21.3%,9,MARCH,15,9.4%,$829.9,2002
106,-36.1%,$31.5,$71.8,John Q.,17.5%,9,FEBRUARY,13,4.6%,$409.4,2002
107,-30.4%,$57.4,$81.2,Snow Dogs,11.8%,9,JANUARY,12,7.8%,$689.2,2002
108,-30.1%,$83.2,$339.8,Two Towers,34.1%,10,DECEMBER,12,11.3%,$997.8,2002
109,-43.5%,$57.5,$262.0,Harry Potter / Chamber of Secrets,28.5%,10,NOVEMBER,16,10.4%,$920.2,2002
110,-42.3%,$33.6,$129.1,The Ring,27.5%,10,OCTOBER,14,5.3%,$469.9,2002
111,-44.4%,$35.6,$127.2,Sweet Home Alabama,29.8%,10,SEPTEMBER,12,4.8%,$426.8,2002
112,-45.6%,$60.3,$228.0,Signs,25.2%,10,AUGUST,15,10.3%,$904.8,2002
113,-47.4%,$67.3,$213.3,Goldmember,26.4%,10,JULY,12,9.2%,$807.3,2002
114,-49.2%,$84.7,$153.3,Scooby-Doo,18.1%,10,JUNE,10,9.6%,$847.2,2002
115,-38.4%,$98.3,$403.7,Spider-Man,34.2%,10,MAY,12,13.4%,"$1,179.4",2002
116,-46.9%,$32.5,$241.4,My Big Fat Greek Wedding,74.2%,10,APRIL,10,3.7%,$325.3,2002
117,-43.2%,$55.3,$176.4,Ice Age,21.3%,10,MARCH,15,9.4%,$829.9,2002
118,-36.1%,$31.5,$71.8,John Q.,17.5%,10,FEBRUARY,13,4.6%,$409.4,2002
119,-30.4%,$57.4,$81.2,Snow Dogs,11.8%,10,JANUARY,12,7.8%,$689.2,2002
120,-30.1%,$83.2,$339.8,Two Towers,34.1%,11,DECEMBER,12,11.3%,$997.8,2002
121,-43.5%,$57.5,$262.0,Harry Potter / Chamber of Secrets,28.5%,11,NOVEMBER,16,10.4%,$920.2,2002
122,-42.3%,$33.6,$129.1,The Ring,27.5%,11,OCTOBER,14,5.3%,$469.9,2002
123,-44.4%,$35.6,$127.2,Sweet Home Alabama,29.8%,11,SEPTEMBER,12,4.8%,$426.8,2002
124,-45.6%,$60.3,$228.0,Signs,25.2%,11,AUGUST,15,10.3%,$904.8,2002
125,-47.4%,$67.3,$213.3,Goldmember,26.4%,11,JULY,12,9.2%,$807.3,2002
126,-49.2%,$84.7,$153.3,Scooby-Doo,18.1%,11,JUNE,10,9.6%,$847.2,2002
127,-38.4%,$98.3,$403.7,Spider-Man,34.2%,11,MAY,12,13.4%,"$1,179.4",2002
128,-46.9%,$32.5,$241.4,My Big Fat Greek Wedding,74.2%,11,APRIL,10,3.7%,$325.3,2002
129,-43.2%,$55.3,$176.4,Ice Age,21.3%,11,MARCH,15,9.4%,$829.9,2002
130,-36.1%,$31.5,$71.8,John Q.,17.5%,11,FEBRUARY,13,4.6%,$409.4,2002
131,-30.4%,$57.4,$81.2,Snow Dogs,11.8%,11,JANUARY,12,7.8%,$689.2,2002
132,-30.1%,$83.2,$339.8,Two Towers,34.1%,12,DECEMBER,12,11.3%,$997.8,2002
133,-43.5%,$57.5,$262.0,Harry Potter / Chamber of Secrets,28.5%,12,NOVEMBER,16,10.4%,$920.2,2002
134,-42.3%,$33.6,$129.1,The Ring,27.5%,12,OCTOBER,14,5.3%,$469.9,2002
135,-44.4%,$35.6,$127.2,Sweet Home Alabama,29.8%,12,SEPTEMBER,12,4.8%,$426.8,2002
136,-45.6%,$60.3,$228.0,Signs,25.2%,12,AUGUST,15,10.3%,$904.8,2002
137,-47.4%,$67.3,$213.3,Goldmember,26.4%,12,JULY,12,9.2%,$807.3,2002
138,-49.2%,$84.7,$153.3,Scooby-Doo,18.1%,12,JUNE,10,9.6%,$847.2,2002
139,-38.4%,$98.3,$403.7,Spider-Man,34.2%,12,MAY,12,13.4%,"$1,179.4",2002
140,-46.9%,$32.5,$241.4,My Big Fat Greek Wedding,74.2%,12,APRIL,10,3.7%,$325.3,2002
141,-43.2%,$55.3,$176.4,Ice Age,21.3%,12,MARCH,15,9.4%,$829.9,2002
142,-36.1%,$31.5,$71.8,John Q.,17.5%,12,FEBRUARY,13,4.6%,$409.4,2002
143,-30.4%,$57.4,$81.2,Snow Dogs,11.8%,12,JANUARY,12,7.8%,$689.2,2002
144,-30.8%,$99.9,$377.0,Return of the King,34.3%,1,DECEMBER,11,12.3%,"$1,099.3",2003
145,-43.1%,$71.0,$173.4,Elf,18.8%,1,NOVEMBER,13,10.4%,$923.6,2003
146,-41.8%,$50.9,$110.0,Scary Movie 3,15.5%,1,OCTOBER,14,8.0%,$711.9,2003
147,-47.1%,$30.4,$56.4,Once Upon a Time in Mexico,14.3%,1,SEPTEMBER,13,4.4%,$394.7,2003
148,-52.4%,$45.6,$116.9,S.W.A.T.,18.3%,1,AUGUST,14,7.1%,$637.8,2003
149,-44.8%,$101.6,$305.4,Pirates of the Caribbean,27.3%,1,JULY,11,12.5%,"$1,117.5",2003
150,-57.4%,$57.9,$132.2,Hulk,25.4%,1,JUNE,9,5.8%,$521.0,2003
151,-45.2%,$127.8,$339.7,Finding Nemo,24.2%,1,MAY,11,15.8%,"$1,406.2",2003
152,-46.6%,$35.5,$135.6,Anger Management,29.4%,1,APRIL,13,5.2%,$460.9,2003
153,-43.2%,$34.7,$132.7,Bringing Down the House,27.3%,1,MARCH,14,5.4%,$485.3,2003
154,-37.7%,$45.9,$105.8,How to Lose a Guy,19.2%,1,FEBRUARY,12,6.2%,$550.9,2003
155,-36.8%,$47.1,$66.9,Kangaroo Jack,10.9%,1,JANUARY,13,6.9%,$612.6,2003
156,-30.8%,$99.9,$377.0,Return of the King,34.3%,2,DECEMBER,11,12.3%,"$1,099.3",2003
157,-43.1%,$71.0,$173.4,Elf,18.8%,2,NOVEMBER,13,10.4%,$923.6,2003
158,-41.8%,$50.9,$110.0,Scary Movie 3,15.5%,2,OCTOBER,14,8.0%,$711.9,2003
159,-47.1%,$30.4,$56.4,Once Upon a Time in Mexico,14.3%,2,SEPTEMBER,13,4.4%,$394.7,2003
160,-52.4%,$45.6,$116.9,S.W.A.T.,18.3%,2,AUGUST,14,7.1%,$637.8,2003
161,-44.8%,$101.6,$305.4,Pirates of the Caribbean,27.3%,2,JULY,11,12.5%,"$1,117.5",2003
162,-57.4%,$57.9,$132.2,Hulk,25.4%,2,JUNE,9,5.8%,$521.0,2003
163,-45.2%,$127.8,$339.7,Finding Nemo,24.2%,2,MAY,11,15.8%,"$1,406.2",2003
164,-46.6%,$35.5,$135.6,Anger Management,29.4%,2,APRIL,13,5.2%,$460.9,2003
165,-43.2%,$34.7,$132.7,Bringing Down the House,27.3%,2,MARCH,14,5.4%,$485.3,2003
166,-37.7%,$45.9,$105.8,How to Lose a Guy,19.2%,2,FEBRUARY,12,6.2%,$550.9,2003
167,-36.8%,$47.1,$66.9,Kangaroo Jack,10.9%,2,JANUARY,13,6.9%,$612.6,2003
168,-30.8%,$99.9,$377.0,Return of the King,34.3%,3,DECEMBER,11,12.3%,"$1,099.3",2003
169,-43.1%,$71.0,$173.4,Elf,18.8%,3,NOVEMBER,13,10.4%,$923.6,2003
170,-41.8%,$50.9,$110.0,Scary Movie 3,15.5%,3,OCTOBER,14,8.0%,$711.9,2003
171,-47.1%,$30.4,$56.4,Once Upon a Time in Mexico,14.3%,3,SEPTEMBER,13,4.4%,$394.7,2003
172,-52.4%,$45.6,$116.9,S.W.A.T.,18.3%,3,AUGUST,14,7.1%,$637.8,2003
173,-44.8%,$101.6,$305.4,Pirates of the Caribbean,27.3%,3,JULY,11,12.5%,"$1,117.5",2003
174,-57.4%,$57.9,$132.2,Hulk,25.4%,3,JUNE,9,5.8%,$521.0,2003
175,-45.2%,$127.8,$339.7,Finding Nemo,24.2%,3,MAY,11,15.8%,"$1,406.2",2003
176,-46.6%,$35.5,$135.6,Anger Management,29.4%,3,APRIL,13,5.2%,$460.9,2003
177,-43.2%,$34.7,$132.7,Bringing Down the House,27.3%,3,MARCH,14,5.4%,$485.3,2003
178,-37.7%,$45.9,$105.8,How to Lose a Guy,19.2%,3,FEBRUARY,12,6.2%,$550.9,2003
179,-36.8%,$47.1,$66.9,Kangaroo Jack,10.9%,3,JANUARY,13,6.9%,$612.6,2003
180,-30.8%,$99.9,$377.0,Return of the King,34.3%,4,DECEMBER,11,12.3%,"$1,099.3",2003
181,-43.1%,$71.0,$173.4,Elf,18.8%,4,NOVEMBER,13,10.4%,$923.6,2003
182,-41.8%,$50.9,$110.0,Scary Movie 3,15.5%,4,OCTOBER,14,8.0%,$711.9,2003
183,-47.1%,$30.4,$56.4,Once Upon a Time in Mexico,14.3%,4,SEPTEMBER,13,4.4%,$394.7,2003
184,-52.4%,$45.6,$116.9,S.W.A.T.,18.3%,4,AUGUST,14,7.1%,$637.8,2003
185,-44.8%,$101.6,$305.4,Pirates of the Caribbean,27.3%,4,JULY,11,12.5%,"$1,117.5",2003
186,-57.4%,$57.9,$132.2,Hulk,25.4%,4,JUNE,9,5.8%,$521.0,2003
187,-45.2%,$127.8,$339.7,Finding Nemo,24.2%,4,MAY,11,15.8%,"$1,406.2",2003
188,-46.6%,$35.5,$135.6,Anger Management,29.4%,4,APRIL,13,5.2%,$460.9,2003
189,-43.2%,$34.7,$132.7,Bringing Down the House,27.3%,4,MARCH,14,5.4%,$485.3,2003
190,-37.7%,$45.9,$105.8,How to Lose a Guy,19.2%,4,FEBRUARY,12,6.2%,$550.9,2003
191,-36.8%,$47.1,$66.9,Kangaroo Jack,10.9%,4,JANUARY,13,6.9%,$612.6,2003
192,-30.8%,$99.9,$377.0,Return of the King,34.3%,5,DECEMBER,11,12.3%,"$1,099.3",2003
193,-43.1%,$71.0,$173.4,Elf,18.8%,5,NOVEMBER,13,10.4%,$923.6,2003
194,-41.8%,$50.9,$110.0,Scary Movie 3,15.5%,5,OCTOBER,14,8.0%,$711.9,2003
195,-47.1%,$30.4,$56.4,Once Upon a Time in Mexico,14.3%,5,SEPTEMBER,13,4.4%,$394.7,2003
196,-52.4%,$45.6,$116.9,S.W.A.T.,18.3%,5,AUGUST,14,7.1%,$637.8,2003
197,-44.8%,$101.6,$305.4,Pirates of the Caribbean,27.3%,5,JULY,11,12.5%,"$1,117.5",2003
198,-57.4%,$57.9,$132.2,Hulk,25.4%,5,JUNE,9,5.8%,$521.0,2003
199,-45.2%,$127.8,$339.7,Finding Nemo,24.2%,5,MAY,11,15.8%,"$1,406.2",2003
200,-46.6%,$35.5,$135.6,Anger Management,29.4%,5,APRIL,13,5.2%,$460.9,2003
201,-43.2%,$34.7,$132.7,Bringing Down the House,27.3%,5,MARCH,14,5.4%,$485.3,2003
202,-37.7%,$45.9,$105.8,How to Lose a Guy,19.2%,5,FEBRUARY,12,6.2%,$550.9,2003
203,-36.8%,$47.1,$66.9,Kangaroo Jack,10.9%,5,JANUARY,13,6.9%,$612.6,2003
204,-30.8%,$99.9,$377.0,Return of the King,34.3%,6,DECEMBER,11,12.3%,"$1,099.3",2003
205,-43.1%,$71.0,$173.4,Elf,18.8%,6,NOVEMBER,13,10.4%,$923.6,2003
206,-41.8%,$50.9,$110.0,Scary Movie 3,15.5%,6,OCTOBER,14,8.0%,$711.9,2003
207,-47.1%,$30.4,$56.4,Once Upon a Time in Mexico,14.3%,6,SEPTEMBER,13,4.4%,$394.7,2003
208,-52.4%,$45.6,$116.9,S.W.A.T.,18.3%,6,AUGUST,14,7.1%,$637.8,2003
209,-44.8%,$101.6,$305.4,Pirates of the Caribbean,27.3%,6,JULY,11,12.5%,"$1,117.5",2003
210,-57.4%,$57.9,$132.2,Hulk,25.4%,6,JUNE,9,5.8%,$521.0,2003
211,-45.2%,$127.8,$339.7,Finding Nemo,24.2%,6,MAY,11,15.8%,"$1,406.2",2003
212,-46.6%,$35.5,$135.6,Anger Management,29.4%,6,APRIL,13,5.2%,$460.9,2003
213,-43.2%,$34.7,$132.7,Bringing Down the House,27.3%,6,MARCH,14,5.4%,$485.3,2003
214,-37.7%,$45.9,$105.8,How to Lose a Guy,19.2%,6,FEBRUARY,12,6.2%,$550.9,2003
215,-36.8%,$47.1,$66.9,Kangaroo Jack,10.9%,6,JANUARY,13,6.9%,$612.6,2003
216,-30.8%,$99.9,$377.0,Return of the King,34.3%,7,DECEMBER,11,12.3%,"$1,099.3",2003
217,-43.1%,$71.0,$173.4,Elf,18.8%,7,NOVEMBER,13,10.4%,$923.6,2003
218,-41.8%,$50.9,$110.0,Scary Movie 3,15.5%,7,OCTOBER,14,8.0%,$711.9,2003
219,-47.1%,$30.4,$56.4,Once Upon a Time in Mexico,14.3%,7,SEPTEMBER,13,4.4%,$394.7,2003
220,-52.4%,$45.6,$116.9,S.W.A.T.,18.3%,7,AUGUST,14,7.1%,$637.8,2003
221,-44.8%,$101.6,$305.4,Pirates of the Caribbean,27.3%,7,JULY,11,12.5%,"$1,117.5",2003
222,-57.4%,$57.9,$132.2,Hulk,25.4%,7,JUNE,9,5.8%,$521.0,2003
223,-45.2%,$127.8,$339.7,Finding Nemo,24.2%,7,MAY,11,15.8%,"$1,406.2",2003
224,-46.6%,$35.5,$135.6,Anger Management,29.4%,7,APRIL,13,5.2%,$460.9,2003
225,-43.2%,$34.7,$132.7,Bringing Down the House,27.3%,7,MARCH,14,5.4%,$485.3,2003
226,-37.7%,$45.9,$105.8,How to Lose a Guy,19.2%,7,FEBRUARY,12,6.2%,$550.9,2003
227,-36.8%,$47.1,$66.9,Kangaroo Jack,10.9%,7,JANUARY,13,6.9%,$612.6,2003
228,-30.8%,$99.9,$377.0,Return of the King,34.3%,8,DECEMBER,11,12.3%,"$1,099.3",2003
229,-43.1%,$71.0,$173.4,Elf,18.8%,8,NOVEMBER,13,10.4%,$923.6,2003
230,-41.8%,$50.9,$110.0,Scary Movie 3,15.5%,8,OCTOBER,14,8.0%,$711.9,2003
231,-47.1%,$30.4,$56.4,Once Upon a Time in Mexico,14.3%,8,SEPTEMBER,13,4.4%,$394.7,2003
232,-52.4%,$45.6,$116.9,S.W.A.T.,18.3%,8,AUGUST,14,7.1%,$637.8,2003
233,-44.8%,$101.6,$305.4,Pirates of the Caribbean,27.3%,8,JULY,11,12.5%,"$1,117.5",2003
234,-57.4%,$57.9,$132.2,Hulk,25.4%,8,JUNE,9,5.8%,$521.0,2003
235,-45.2%,$127.8,$339.7,Finding Nemo,24.2%,8,MAY,11,15.8%,"$1,406.2",2003
236,-46.6%,$35.5,$135.6,Anger Management,29.4%,8,APRIL,13,5.2%,$460.9,2003
237,-43.2%,$34.7,$132.7,Bringing Down the House,27.3%,8,MARCH,14,5.4%,$485.3,2003
238,-37.7%,$45.9,$105.8,How to Lose a Guy,19.2%,8,FEBRUARY,12,6.2%,$550.9,2003
239,-36.8%,$47.1,$66.9,Kangaroo Jack,10.9%,8,JANUARY,13,6.9%,$612.6,2003
240,-30.8%,$99.9,$377.0,Return of the King,34.3%,9,DECEMBER,11,12.3%,"$1,099.3",2003
241,-43.1%,$71.0,$173.4,Elf,18.8%,9,NOVEMBER,13,10.4%,$923.6,2003
242,-41.8%,$50.9,$110.0,Scary Movie 3,15.5%,9,OCTOBER,14,8.0%,$711.9,2003
243,-47.1%,$30.4,$56.4,Once Upon a Time in Mexico,14.3%,9,SEPTEMBER,13,4.4%,$394.7,2003
244,-52.4%,$45.6,$116.9,S.W.A.T.,18.3%,9,AUGUST,14,7.1%,$637.8,2003
245,-44.8%,$101.6,$305.4,Pirates of the Caribbean,27.3%,9,JULY,11,12.5%,"$1,117.5",2003
246,-57.4%,$57.9,$132.2,Hulk,25.4%,9,JUNE,9,5.8%,$521.0,2003
247,-45.2%,$127.8,$339.7,Finding Nemo,24.2%,9,MAY,11,15.8%,"$1,406.2",2003
248,-46.6%,$35.5,$135.6,Anger Management,29.4%,9,APRIL,13,5.2%,$460.9,2003
249,-43.2%,$34.7,$132.7,Bringing Down the House,27.3%,9,MARCH,14,5.4%,$485.3,2003
250,-37.7%,$45.9,$105.8,How to Lose a Guy,19.2%,9,FEBRUARY,12,6.2%,$550.9,2003
251,-36.8%,$47.1,$66.9,Kangaroo Jack,10.9%,9,JANUARY,13,6.9%,$612.6,2003
252,-30.8%,$99.9,$377.0,Return of the King,34.3%,10,DECEMBER,11,12.3%,"$1,099.3",2003
253,-43.1%,$71.0,$173.4,Elf,18.8%,10,NOVEMBER,13,10.4%,$923.6,2003
254,-41.8%,$50.9,$110.0,Scary Movie 3,15.5%,10,OCTOBER,14,8.0%,$711.9,2003
255,-47.1%,$30.4,$56.4,Once Upon a Time in Mexico,14.3%,10,SEPTEMBER,13,4.4%,$394.7,2003
256,-52.4%,$45.6,$116.9,S.W.A.T.,18.3%,10,AUGUST,14,7.1%,$637.8,2003
257,-44.8%,$101.6,$305.4,Pirates of the Caribbean,27.3%,10,JULY,11,12.5%,"$1,117.5",2003
258,-57.4%,$57.9,$132.2,Hulk,25.4%,10,JUNE,9,5.8%,$521.0,2003
259,-45.2%,$127.8,$339.7,Finding Nemo,24.2%,10,MAY,11,15.8%,"$1,406.2",2003
260,-46.6%,$35.5,$135.6,Anger Management,29.4%,10,APRIL,13,5.2%,$460.9,2003
261,-43.2%,$34.7,$132.7,Bringing Down the House,27.3%,10,MARCH,14,5.4%,$485.3,2003
262,-37.7%,$45.9,$105.8,How to Lose a Guy,19.2%,10,FEBRUARY,12,6.2%,$550.9,2003
263,-36.8%,$47.1,$66.9,Kangaroo Jack,10.9%,10,JANUARY,13,6.9%,$612.6,2003
264,-30.8%,$99.9,$377.0,Return of the King,34.3%,11,DECEMBER,11,12.3%,"$1,099.3",2003
265,-43.1%,$71.0,$173.4,Elf,18.8%,11,NOVEMBER,13,10.4%,$923.6,2003
266,-41.8%,$50.9,$110.0,Scary Movie 3,15.5%,11,OCTOBER,14,8.0%,$711.9,2003
267,-47.1%,$30.4,$56.4,Once Upon a Time in Mexico,14.3%,11,SEPTEMBER,13,4.4%,$394.7,2003
268,-52.4%,$45.6,$116.9,S.W.A.T.,18.3%,11,AUGUST,14,7.1%,$637.8,2003
269,-44.8%,$101.6,$305.4,Pirates of the Caribbean,27.3%,11,JULY,11,12.5%,"$1,117.5",2003
270,-57.4%,$57.9,$132.2,Hulk,25.4%,11,JUNE,9,5.8%,$521.0,2003
271,-45.2%,$127.8,$339.7,Finding Nemo,24.2%,11,MAY,11,15.8%,"$1,406.2",2003
272,-46.6%,$35.5,$135.6,Anger Management,29.4%,11,APRIL,13,5.2%,$460.9,2003
273,-43.2%,$34.7,$132.7,Bringing Down the House,27.3%,11,MARCH,14,5.4%,$485.3,2003
274,-37.7%,$45.9,$105.8,How to Lose a Guy,19.2%,11,FEBRUARY,12,6.2%,$550.9,2003
275,-36.8%,$47.1,$66.9,Kangaroo Jack,10.9%,11,JANUARY,13,6.9%,$612.6,2003
276,-30.8%,$99.9,$377.0,Return of the King,34.3%,12,DECEMBER,11,12.3%,"$1,099.3",2003
277,-43.1%,$71.0,$173.4,Elf,18.8%,12,NOVEMBER,13,10.4%,$923.6,2003
278,-41.8%,$50.9,$110.0,Scary Movie 3,15.5%,12,OCTOBER,14,8.0%,$711.9,2003
279,-47.1%,$30.4,$56.4,Once Upon a Time in Mexico,14.3%,12,SEPTEMBER,13,4.4%,$394.7,2003
280,-52.4%,$45.6,$116.9,S.W.A.T.,18.3%,12,AUGUST,14,7.1%,$637.8,2003
281,-44.8%,$101.6,$305.4,Pirates of the Caribbean,27.3%,12,JULY,11,12.5%,"$1,117.5",2003
282,-57.4%,$57.9,$132.2,Hulk,25.4%,12,JUNE,9,5.8%,$521.0,2003
283,-45.2%,$127.8,$339.7,Finding Nemo,24.2%,12,MAY,11,15.8%,"$1,406.2",2003
284,-46.6%,$35.5,$135.6,Anger Management,29.4%,12,APRIL,13,5.2%,$460.9,2003
285,-43.2%,$34.7,$132.7,Bringing Down the House,27.3%,12,MARCH,14,5.4%,$485.3,2003
286,-37.7%,$45.9,$105.8,How to Lose a Guy,19.2%,12,FEBRUARY,12,6.2%,$550.9,2003
287,-36.8%,$47.1,$66.9,Kangaroo Jack,10.9%,12,JANUARY,13,6.9%,$612.6,2003
288,-22.3%,$74.9,$279.3,Meet the Fockers,28.7%,1,DECEMBER,13,11.0%,$973.4,2004
289,-43.9%,$89.0,$261.4,The Incredibles,29.4%,1,NOVEMBER,10,10.0%,$889.8,2004
