,avg_drop,avg_gross,best_gross,best_movie,best_pcttotal,month,month_name,num_movies,pctyr_totalgross,total_tickets,year
1788,-25.2%,$80.7,$255.1,The Hobbit 3,26.3%,6,DECEMBER,12,9.7%,$968.7,2014
1789,-47.3%,$106.5,$337.1,Mockingjay Part 1,31.7%,6,NOVEMBER,10,10.7%,"$1,064.5",2014
1790,-50.1%,$44.0,$167.8,Gone Girl,21.2%,6,OCTOBER,18,8.0%,$792.3,2014
1791,-52.3%,$42.5,$102.4,The Maze Runner,24.1%,6,SEPTEMBER,10,4.3%,$425.3,2014
1792,-45.9%,$54.7,$333.2,Guardians of the Galaxy,32.1%,6,AUGUST,19,10.4%,"$1,039.5",2014
1793,-46.0%,$55.9,$208.5,Dawn of the Planet of the Apes,26.7%,6,JULY,14,7.9%,$782.5,2014
1794,-57.9%,$119.1,$245.4,Transformers 4,25.8%,6,JUNE,8,9.6%,$952.6,2014
1795,-46.2%,$100.8,$241.4,Maleficent,20.0%,6,MAY,12,12.1%,"$1,209.7",2014
1796,-49.6%,$59.4,$259.8,Captain America 2,36.4%,6,APRIL,12,7.2%,$712.9,2014
1797,-46.1%,$60.4,$150.9,Divergent,20.8%,6,MARCH,12,7.3%,$724.7,2014
1798,-57.1%,$57.9,$257.8,The LEGO Movie,37.1%,6,FEBRUARY,12,7.0%,$694.8,2014
1799,-42.4%,$42.5,$134.9,Ride Along,22.7%,6,JANUARY,14,6.0%,$594.7,2014
1800,-25.2%,$80.7,$255.1,The Hobbit 3,26.3%,7,DECEMBER,12,9.7%,$968.7,2014
1801,-47.3%,$106.5,$337.1,Mockingjay Part 1,31.7%,7,NOVEMBER,10,10.7%,"$1,064.5",2014
1802,-50.1%,$44.0,$167.8,Gone Girl,21.2%,7,OCTOBER,18,8.0%,$792.3,2014
1803,-52.3%,$42.5,$102.4,The Maze Runner,24.1%,7,SEPTEMBER,10,4.3%,$425.3,2014
1804,-45.9%,$54.7,$333.2,Guardians of the Galaxy,32.1%,7,AUGUST,19,10.4%,"$1,039.5",2014
1805,-46.0%,$55.9,$208.5,Dawn of the Planet of the Apes,26.7%,7,JULY,14,7.9%,$782.5,2014
1806,-57.9%,$119.1,$245.4,Transformers 4,25.8%,7,JUNE,8,9.6%,$952.6,2014
1807,-46.2%,$100.8,$241.4,Maleficent,20.0%,7,MAY,12,12.1%,"$1,209.7",2014
1808,-49.6%,$59.4,$259.8,Captain America 2,36.4%,7,APRIL,12,7.2%,$712.9,2014
1809,-46.1%,$60.4,$150.9,Divergent,20.8%,7,MARCH,12,7.3%,$724.7,2014
1810,-57.1%,$57.9,$257.8,The LEGO Movie,37.1%,7,FEBRUARY,12,7.0%,$694.8,2014
1811,-42.4%,$42.5,$134.9,Ride Along,22.7%,7,JANUARY,14,6.0%,$594.7,2014
1812,-25.2%,$80.7,$255.1,The Hobbit 3,26.3%,8,DECEMBER,12,9.7%,$968.7,2014
1813,-47.3%,$106.5,$337.1,Mockingjay Part 1,31.7%,8,NOVEMBER,10,10.7%,"$1,064.5",2014
1814,-50.1%,$44.0,$167.8,Gone Girl,21.2%,8,OCTOBER,18,8.0%,$792.3,2014
1815,-52.3%,$42.5,$102.4,The Maze Runner,24.1%,8,SEPTEMBER,10,4.3%,$425.3,2014
