,month,season,year,rank,movie_title,prodco,total_gross,numtheaters,open_tickets,opentheaters,startdate,enddate
493,4,Spring,2005,8,A Lot Like Love,BV,"$21,845,719","2,502","$7,576,593","2,502",4/22,7/7
494,4,Spring,2005,9,The Upside of Anger,NL,"$18,761,993","1,166","$211,559",9,4/1,6/26
495,4,Spring,2005,10,Kung Fu Hustle,SPC,"$17,108,591","2,503","$269,225",7,4/22,8/18
496,4,Spring,2005,11,King's Ransom,NL,"$4,008,527","1,508","$2,137,685","1,508",4/22,6/2
497,5,Summer,2005,1,Star Wars: Episode III - Revenge of the Sith,Fox,"$380,270,577","3,663","$108,435,841","3,661",5/19,10/20
498,5,Summer,2005,2,Madagascar,DW,"$193,595,521","4,142","$47,224,594","4,131",5/27,10/13
499,5,Summer,2005,3,The Longest Yard,Par.,"$158,119,460","3,654","$47,606,480","3,634",5/27,10/6
500,5,Summer,2005,4,Monster-in-Law,NL,"$82,931,301","3,424","$23,105,133","3,424",5/13,9/5
501,5,Summer,2005,5,Crash,Lions,"$54,580,300","1,905","$9,107,071","1,864",5/6,4/6
502,5,Summer,2005,6,Kicking and Screaming,Uni.,"$52,842,724","3,470","$20,159,925","3,455",5/13,8/4
503,5,Summer,2005,7,Kingdom of Heaven,Fox,"$47,398,413","3,219","$19,635,996","3,216",5/6,9/1
504,5,Summer,2005,8,House of Wax,WB,"$32,064,800","3,111","$12,077,236","3,111",5/6,7/28
505,5,Summer,2005,9,Unleashed,Rog.,"$24,537,621","1,962","$10,900,901","1,957",5/13,7/14
506,5,Summer,2005,10,Mindhunters,Dim.,"$4,480,744","1,040","$1,911,358","1,040",5/13,7/14
507,6,Summer,2005,1,War of the Worlds,Par.,"$234,280,354","3,910","$64,878,725","3,908",6/29,11/22
508,6,Summer,2005,2,Batman Begins,WB,"$205,343,774","3,858","$48,745,440","3,858",6/15,10/30
509,6,Summer,2005,3,Mr. & Mrs. Smith,Fox,"$186,336,279","3,451","$50,342,878","3,424",6/10,12/15
510,6,Summer,2005,4,Herbie: Fully Loaded,BV,"$66,023,816","3,521","$12,709,221","3,521",6/22,10/13
511,6,Summer,2005,5,Bewitched,Sony,"$63,313,159","3,188","$20,131,130","3,174",6/24,8/21
512,6,Summer,2005,6,Cinderella Man,Uni.,"$61,649,911","2,820","$18,320,205","2,812",6/3,12/8
513,6,Summer,2005,7,The Adventures of Sharkboy and Lavagirl in 3D,Dim.,"$39,177,684","2,655","$12,582,088","2,655",6/10,10/20
514,6,Summer,2005,8,The Sisterhood of the Traveling Pants,WB,"$39,053,061","2,583","$9,833,340","2,583",6/1,9/15
515,6,Summer,2005,9,George A. Romero's Land of the Dead,Uni.,"$20,700,082","2,253","$10,221,705","2,249",6/24,8/4
516,6,Summer,2005,10,The Perfect Man,Uni.,"$16,535,005","2,090","$5,300,980","2,087",6/17,8/11
517,6,Summer,2005,11,The Honeymooners,Par.,"$12,843,849","1,912","$5,538,835","1,912",6/10,8/11
518,6,Summer,2005,12,Lords of Dogtown,Sony,"$11,273,517","1,865","$5,623,373","1,865",6/3,6/26
519,6,Summer,2005,13,High Tension,Lions,"$3,681,066","1,323","$1,897,705","1,323",6/10,6/30
520,7,Summer,2005,1,Wedding Crashers,NL,"$209,255,921","3,131","$33,900,720","2,925",7/15,12/31
521,7,Summer,2005,2,Charlie and the Chocolate Factory,WB,"$206,459,076","3,790","$56,178,450","3,770",7/15,12/8
522,7,Summer,2005,3,Fantastic Four (2005),Fox,"$154,696,080","3,619","$56,061,504","3,602",7/8,12/29
523,7,Summer,2005,4,March of the Penguins,WIP,"$77,437,223","2,506","$137,492",4,7/22,12/1
524,7,Summer,2005,5,Sky High,BV,"$63,946,815","2,912","$14,631,784","2,905",7/29,12/1
525,7,Summer,2005,6,Must Love Dogs,WB,"$43,894,863","2,505","$12,855,321","2,505",7/29,10/30
526,7,Summer,2005,7,The Island,DW,"$35,818,913","3,138","$12,409,070","3,122",7/22,9/8
527,7,Summer,2005,8,Bad News Bears,Par.,"$32,868,349","3,183","$11,382,472","3,183",7/22,9/29
528,7,Summer,2005,9,Stealth,Sony,"$32,116,746","3,495","$13,251,545","3,495",7/29,9/5
529,7,Summer,2005,10,Dark Water,BV,"$25,473,352","2,657","$9,939,251","2,657",7/8,10/13
530,7,Summer,2005,11,Hustle and Flow,ParC,"$22,202,809","1,016","$8,017,808","1,013",7/22,11/28
531,7,Summer,2005,12,The Devil's Rejects,Lions,"$17,044,981","1,757","$7,067,335","1,757",7/22,8/25
532,7,Summer,2005,13,Rebound,Fox,"$16,809,014","2,464","$5,033,848","2,464",7/1,9/22
533,8,Fall,2005,1,The 40-Year-Old Virgin,Uni.,"$109,449,237","3,006","$21,422,815","2,845",8/19,12/15
534,8,Fall,2005,2,The Dukes of Hazzard,WB,"$80,270,227","3,785","$30,675,314","3,785",8/5,10/30
535,8,Fall,2005,3,Four Brothers,Par.,"$74,494,381","2,649","$21,176,925","2,533",8/12,11/22
536,8,Fall,2005,4,Red Eye,DW,"$57,891,803","3,134","$16,167,662","3,079",8/19,10/13
537,8,Fall,2005,5,The Skeleton Key,Uni.,"$47,907,715","2,784","$16,057,945","2,771",8/12,10/27
538,8,Fall,2005,6,The Brothers Grimm,Dim.,"$37,916,267","3,098","$15,092,079","3,087",8/26,10/20
539,8,Fall,2005,7,The Constant Gardener,Focus,"$33,579,797","1,387","$8,673,803","1,346",8/31,12/1
540,8,Fall,2005,8,Deuce Bigalow: European Gigolo,Sony,"$22,400,154","3,127","$9,626,287","3,127",8/12,10/2
541,8,Fall,2005,9,Valiant,BV,"$19,478,106","2,016","$5,914,722","2,014",8/19,11/17
542,8,Fall,2005,10,The Cave,SGem,"$15,007,991","2,195","$6,147,294","2,195",8/26,10/2
543,8,Fall,2005,11,The Great Raid,Mira.,"$10,167,373",920,"$3,376,009",819,8/12,10/20
544,8,Fall,2005,12,Supercross,Fox,"$3,102,550","1,621","$1,330,520","1,621",8/17,9/29
545,8,Fall,2005,13,Undiscovered,Lions,"$1,069,318","1,304","$676,048","1,304",8/26,9/8
546,9,Fall,2005,1,Flightplan,BV,"$89,707,299","3,424","$24,629,938","3,424",9/23,3/9
547,9,Fall,2005,2,The Exorcism of Emily Rose,SGem,"$75,072,454","3,045","$30,054,300","2,981",9/9,11/6
548,9,Fall,2005,3,Tim Burton's Corpse Bride,WB,"$53,359,111","3,204","$388,166",5,9/23,12/22
549,9,Fall,2005,4,Just Like Heaven,DW,"$48,318,130","3,543","$16,408,718","3,508",9/16,12/1
550,9,Fall,2005,5,Transporter 2,Fox,"$43,095,856","3,320","$16,540,720","3,303",9/2,12/29
551,9,Fall,2005,6,A History of Violence,NL,"$31,504,633","1,348","$515,992",14,9/30,2/9
552,9,Fall,2005,7,Serenity,Uni.,"$25,514,517","2,189","$10,086,680","2,188",9/30,11/17
553,9,Fall,2005,8,Lord of War,Lions,"$24,149,632","2,814","$9,390,144","2,814",9/16,11/3
554,9,Fall,2005,9,Into the Blue,Sony,"$18,801,234","2,789","$7,057,854","2,789",9/30,1/2
555,9,Fall,2005,10,Roll Bounce,FoxS,"$17,380,866","1,661","$7,570,366","1,625",9/23,1/5
556,9,Fall,2005,11,The Greatest Game Ever Played,BV,"$15,337,393","1,810","$3,657,322","1,014",9/30,12/1
557,9,Fall,2005,12,Cry Wolf,Rog.,"$10,047,674","1,789","$4,428,209","1,789",9/16,11/3
558,9,Fall,2005,13,An Unfinished Life,Mira.,"$8,586,392",888,"$1,008,308",139,9/16,10/20
559,9,Fall,2005,14,The Man,NL,"$8,330,720","2,040","$4,065,014","2,040",9/9,10/13
560,9,Fall,2005,15,Proof,Mira.,"$7,535,331",517,"$193,840",8,9/16,11/24
561,9,Fall,2005,16,Underclassman,Mira.,"$5,655,459","1,132","$2,525,364","1,132",9/2,10/20
562,9,Fall,2005,17,Oliver Twist,Sony,"$2,080,321",779,"$68,447",5,9/30,10/16
563,9,Fall,2005,18,A Sound of Thunder,WB,"$1,900,451",816,"$917,398",816,9/2,10/6
564,10,Fall,2005,1,Saw II,Lions,"$87,039,965","2,949","$31,725,652","2,949",10/28,1/5
565,10,Fall,2005,2,Wallace and Gromit: The Curse of the Were-Rabbit,DW,"$56,110,897","3,656","$16,025,987","3,645",10/7,1/5
566,10,Fall,2005,3,The Legend of Zorro,Sony,"$46,464,023","3,520","$16,328,506","3,520",10/28,1/2
567,10,Fall,2005,4,In Her Shoes,Fox,"$32,880,591","2,840","$10,017,575","2,808",10/7,1/29
568,10,Fall,2005,5,Dreamer: Inspired by a True Story,DW,"$32,751,093","2,735","$9,178,233","2,007",10/21,1/5
569,10,Fall,2005,6,The Fog (2005),SonR,"$29,550,869","2,972","$11,752,917","2,972",10/14,11/20
570,10,Fall,2005,7,Doom,Uni.,"$28,212,337","3,044","$15,488,870","3,044",10/21,12/1
571,10,Fall,2005,8,Elizabethtown,Par.,"$26,850,426","2,517","$10,618,711","2,517",10/14,12/20
572,10,Fall,2005,9,Two for the Money,Uni.,"$22,991,379","2,397","$8,703,240","2,391",10/7,11/17
573,10,Fall,2005,10,Prime,Uni.,"$22,827,153","1,837","$6,220,935","1,827",10/28,12/15
574,10,Fall,2005,11,North Country,WB,"$18,337,722","2,555","$6,422,455","2,555",10/21,1/12
575,10,Fall,2005,12,Waiting...,Lions,"$16,124,543","1,652","$6,021,106","1,652",10/7,11/17
576,10,Fall,2005,13,The Gospel,SGem,"$15,778,152",983,"$7,523,571",969,10/7,11/20
577,10,Fall,2005,14,The Weather Man,Par.,"$12,482,775","1,510","$4,248,465","1,510",10/28,12/20
578,10,Fall,2005,15,Domino,NL,"$10,169,202","2,223","$4,670,120","2,223",10/14,11/10
579,10,Fall,2005,16,Stay,Fox,"$3,626,883","1,684","$2,188,199","1,684",10/21,11/27
580,10,Fall,2005,17,Kids in America,Slow,"$537,667",701,"$440,228",701,10/21,10/27
581,11,Winter,2005,1,Harry Potter and the Goblet of Fire,WB,"$290,013,036","3,858","$102,685,961","3,858",11/18,4/6
582,11,Winter,2005,2,Chicken Little,BV,"$135,386,665","3,658","$40,049,778","3,654",11/4,4/13
583,11,Winter,2005,3,Walk the Line,Fox,"$119,519,402","3,160","$22,347,341","2,961",11/18,5/4
584,11,Winter,2005,4,Jarhead,Uni.,"$62,658,220","2,448","$27,726,210","2,411",11/4,1/19
585,11,Winter,2005,5,"Yours, Mine and Ours",Par.,"$53,412,862","3,210","$17,461,108","3,206",11/23,2/16
586,11,Winter,2005,6,Pride and Prejudice,Focus,"$38,405,088","1,335","$2,865,017",215,11/23,3/2
587,11,Winter,2005,7,Derailed,Wein.,"$36,024,076","2,447","$12,211,986","2,443",11/11,2/16
588,11,Winter,2005,8,Just Friends,NL,"$32,619,671","2,505","$9,191,331","2,505",11/23,2/9
589,11,Winter,2005,9,"Good Night, and Good Luck.",WIP,"$31,558,003",929,"$421,446",11,11/4,3/16
590,11,Winter,2005,10,Get Rich or Die Tryin',Par.,"$30,985,352","1,666","$12,020,807","1,652",11/9,2/2
591,11,Winter,2005,11,Zathura,Sony,"$29,258,869","3,232","$13,427,872","3,223",11/11,12/11
592,11,Winter,2005,12,Rent,SonR,"$29,077,547","2,437","$10,016,021","2,433",11/23,1/2
593,11,Winter,2005,13,Shopgirl,BV,"$10,284,523",493,"$229,685",8,11/18,3/23
594,11,Winter,2005,14,In the Mix,Lions,"$10,223,896","1,608","$4,448,491","1,608",11/23,12/29
595,11,Winter,2005,15,The Ice Harvest,Focus,"$9,016,782","1,555","$3,740,799","1,550",11/23,12/15
596,12,Winter,2005,1,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",BV,"$291,710,957","3,853","$65,556,312","3,616",12/9,5/11
597,12,Winter,2005,2,King Kong,Uni.,"$218,080,025","3,627","$50,130,145","3,568",12/14,4/6
598,12,Winter,2005,3,Fun with Dick and Jane,Sony,"$110,332,737","3,239","$14,383,515","3,056",12/21,2/26
599,12,Winter,2005,4,Cheaper by the Dozen 2,Fox,"$82,571,173","3,211","$9,309,387","3,175",12/21,5/4
600,12,Winter,2005,5,The Family Stone,Fox,"$60,062,868","2,469","$12,521,027","2,466",12/16,3/30
601,12,Winter,2005,6,Memoirs of a Geisha,Sony,"$57,490,508","1,654","$682,504",8,12/23,3/12
602,12,Winter,2005,7,Syriana,WB,"$50,824,620","1,775","$374,502",5,12/9,4/20
603,12,Winter,2005,8,Rumor Has It,WB,"$43,000,262","2,815","$3,473,155","2,815",12/25,3/9
604,12,Winter,2005,9,The Ringer,FoxS,"$35,428,675","1,853","$5,158,795","1,829",12/23,3/30
605,12,Winter,2005,10,Aeon Flux,Par.,"$25,874,337","2,608","$12,661,112","2,608",12/2,2/9
606,12,Winter,2005,11,The Producers,Uni.,"$19,398,532",978,"$154,590",6,12/25,2/23
607,12,Winter,2005,12,Wolf Creek,W/Dim.,"$16,188,180","1,761","$2,805,754","1,749",12/25,3/9
608,1,Winter,2006,1,Brokeback Mountain,Focus,"$83,043,761","2,089","$547,425",5,1/13,4/20
609,1,Winter,2006,2,Big Momma's House 2,Fox,"$70,165,972","3,261","$27,736,056","3,261",1/27,6/1
610,1,Winter,2006,3,Underworld: Evolution,SGem,"$62,318,875","3,207","$26,857,181","3,207",1/20,3/12
611,1,Winter,2006,4,Hoodwinked,Wein.,"$51,386,611","3,020","$12,401,900","2,394",1/13,5/11
612,1,Winter,2006,5,Munich,Uni.,"$47,403,685","1,498","$4,152,260",532,1/6,3/30
613,1,Winter,2006,6,Hostel,Lions,"$47,326,473","2,337","$19,556,099","2,195",1/6,2/16
614,1,Winter,2006,7,Nanny McPhee,Uni.,"$47,144,110","2,148","$14,503,650","1,995",1/27,5/4
615,1,Winter,2006,8,Glory Road,BV,"$42,647,449","2,397","$13,594,734","2,222",1/13,5/11
616,1,Winter,2006,9,Last Holiday,Par.,"$38,399,961","2,514","$12,806,188","2,514",1/13,3/9
617,1,Winter,2006,10,Annapolis,BV,"$17,127,992","1,607","$7,681,171","1,605",1/27,4/13
618,1,Winter,2006,11,Tristan and Isolde,Fox,"$14,734,633","1,845","$6,583,135","1,845",1/13,3/30
619,1,Winter,2006,12,The New World,NL,"$12,712,093",811,"$30,864",3,1/20,4/2
620,1,Winter,2006,13,The Matador,Wein.,"$12,594,698",905,"$69,100",4,1/27,3/30
621,1,Winter,2006,14,End of the Spear,RM,"$11,967,000","1,163","$4,281,388","1,163",1/20,3/9
622,1,Winter,2006,15,Casanova,BV,"$11,304,403","1,011","$119,276",37,1/6,4/20
623,1,Winter,2006,16,Grandma's Boy,Fox,"$6,090,172","2,016","$3,009,341","2,015",1/6,2/23
624,1,Winter,2006,17,BloodRayne,Rom.,"$2,405,420",985,"$1,550,000",985,1/6,1/22
625,2,Spring,2006,1,The Pink Panther (2006),Sony,"$82,226,474","3,477","$20,220,412","3,477",2/10,4/16
626,2,Spring,2006,2,Eight Below,BV,"$81,612,565","3,122","$20,188,176","3,066",2/17,6/1
627,2,Spring,2006,3,Tyler Perry's Madea's Family Reunion,LGF,"$63,257,940","2,194","$30,030,661","2,194",2/24,4/27
628,2,Spring,2006,4,Curious George,Uni.,"$58,360,760","2,609","$14,703,405","2,566",2/10,5/4
629,2,Spring,2006,5,Final Destination 3,NL,"$54,098,051","2,880","$19,173,094","2,880",2/10,4/16
630,2,Spring,2006,6,Firewall,WB,"$48,751,189","2,840","$13,635,463","2,840",2/10,5/18
631,2,Spring,2006,7,Date Movie,Fox,"$48,548,426","2,898","$19,076,261","2,896",2/17,6/1
632,2,Spring,2006,8,When a Stranger Calls,SGem,"$47,860,214","3,004","$21,607,203","2,999",2/3,3/19
633,2,Spring,2006,9,Capote,SPC,"$28,750,530","1,239","$324,857",12,2/3,4/27
634,2,Spring,2006,10,Freedomland,SonR,"$12,512,886","2,361","$5,833,562","2,361",2/17,3/12
635,2,Spring,2006,11,Something New,Focus,"$11,468,568","1,265","$4,879,736","1,265",2/3,3/9
636,2,Spring,2006,12,Doogal,Wein.,"$7,417,319","2,319","$3,605,899","2,318",2/24,4/13
637,2,Spring,2006,13,Running Scared,NL,"$6,855,137","1,611","$3,381,974","1,611",2/24,4/2
638,3,Spring,2006,1,Ice Age: The Meltdown,Fox,"$195,330,621","3,969","$68,033,544","3,964",3/31,9/7
639,3,Spring,2006,2,Failure to Launch,Par.,"$88,715,192","3,202","$24,411,322","3,057",3/10,6/22
640,3,Spring,2006,3,Inside Man,Uni.,"$88,513,495","2,867","$28,954,945","2,818",3/24,7/6
641,3,Spring,2006,4,V for Vendetta,WB,"$70,511,035","3,365","$25,642,340","3,365",3/17,6/29
642,3,Spring,2006,5,The Shaggy Dog,BV,"$61,123,569","3,501","$16,310,058","3,501",3/10,7/27
643,3,Spring,2006,6,The Hills Have Eyes,FoxS,"$41,778,863","2,621","$15,708,512","2,620",3/10,6/22
644,3,Spring,2006,7,16 Blocks,WB,"$36,895,141","2,706","$11,855,260","2,706",3/3,5/25
645,3,Spring,2006,8,She's the Man,P/DW,"$33,741,133","2,631","$10,730,372","2,623",3/17,6/1
646,3,Spring,2006,9,Stay Alive,BV,"$23,086,480","2,009","$10,726,406","2,009",3/24,6/29
647,3,Spring,2006,10,ATL,WB,"$21,170,563","1,602","$11,554,404","1,602",3/31,5/25
648,3,Spring,2006,11,Aquamarine,Fox,"$18,597,342","2,538","$7,482,669","2,512",3/3,5/25
649,3,Spring,2006,12,Ultraviolet,SGem,"$18,535,812","2,558","$9,064,880","2,558",3/3,4/2
650,3,Spring,2006,13,Larry the Cable Guy: Health Inspector,LGF,"$15,680,099","1,747","$6,922,767","1,710",3/24,5/25
651,3,Spring,2006,14,Dave Chappelle's Block Party,Rog.,"$11,718,595","1,200","$6,214,723","1,200",3/3,4/6
652,3,Spring,2006,15,Transamerica,Wein.,"$9,015,303",656,"$46,908",2,3/3,6/1
653,3,Spring,2006,16,Slither,Uni.,"$7,802,450","1,946","$3,880,270","1,945",3/31,4/27
654,3,Spring,2006,17,Basic Instinct 2,Sony,"$5,971,336","1,453","$3,201,420","1,453",3/31,4/16
655,3,Spring,2006,18,The Libertine,Wein.,"$4,835,065",819,"$27,804",2,3/10,4/20
656,4,Spring,2006,1,Scary Movie 4,W/Dim.,"$90,710,620","3,674","$40,222,875","3,602",4/14,8/3
657,4,Spring,2006,2,RV,Sony,"$71,726,025","3,651","$16,414,767","3,639",4/28,8/20
658,4,Spring,2006,3,The Benchwarmers,SonR,"$59,843,754","3,282","$19,656,429","3,274",4/7,5/21
659,4,Spring,2006,4,Silent Hill,Sony,"$46,982,632","2,932","$20,152,598","2,926",4/21,6/18
660,4,Spring,2006,5,The Wild,BV,"$37,384,046","2,854","$9,684,809","2,854",4/14,8/17
661,4,Spring,2006,6,The Sentinel,Fox,"$36,280,697","2,851","$14,367,854","2,819",4/21,7/27
662,4,Spring,2006,7,Take the Lead,NL,"$34,742,066","3,009","$12,051,277","3,009",4/7,6/1
663,4,Spring,2006,8,United 93,Uni.,"$31,483,450","1,871","$11,478,360","1,795",4/28,7/6
664,4,Spring,2006,9,Stick It,BV,"$26,910,736","2,044","$10,803,610","2,038",4/28,7/27
665,4,Spring,2006,10,Thank You for Smoking,FoxS,"$24,793,509","1,020","$262,923",5,4/14,9/14
666,4,Spring,2006,11,Lucky Number Slevin,MGM/W,"$22,495,466","1,989","$7,031,921","1,984",4/7,7/20
667,4,Spring,2006,12,Akeelah and the Bee,LGF,"$18,848,430","2,195","$6,011,585","2,195",4/28,7/20
668,4,Spring,2006,13,Friends with Money,SPC,"$13,368,437","1,010","$589,332",28,4/21,8/17
669,4,Spring,2006,14,American Dreamz,Uni.,"$7,191,830","1,500","$3,667,420","1,500",4/21,5/18
670,4,Spring,2006,15,Phat Girlz,FoxS,"$7,061,128","1,060","$3,109,924","1,060",4/7,7/13
671,5,Summer,2006,1,X-Men: The Last Stand,Fox,"$234,362,462","3,714","$102,750,665","3,690",5/26,9/28
672,5,Summer,2006,2,The Da Vinci Code,Sony,"$217,536,138","3,757","$77,073,388","3,735",5/19,8/20
673,5,Summer,2006,3,Over the Hedge,P/DW,"$155,019,340","4,093","$38,457,003","4,059",5/19,9/4
674,5,Summer,2006,4,Mission: Impossible III,Par.,"$134,029,801","4,059","$47,743,273","4,054",5/5,7/20
675,5,Summer,2006,5,Poseidon,WB,"$60,674,817","3,555","$22,155,410","3,555",5/12,8/10
676,5,Summer,2006,6,Just My Luck,Fox,"$17,326,650","2,543","$5,692,285","2,541",5/12,8/3
677,5,Summer,2006,7,An American Haunting,Free,"$16,298,046","1,703","$5,783,508","1,675",5/5,7/23
678,5,Summer,2006,8,See No Evil,LGF,"$15,032,800","1,270","$4,581,233","1,257",5/19,7/6
679,5,Summer,2006,9,Hoot,NL,"$8,117,637","3,018","$3,368,197","3,018",5/5,6/8
680,5,Summer,2006,10,Goal! The Dream Begins,BV,"$4,283,255","1,007","$1,921,838","1,007",5/12,8/10
681,5,Summer,2006,11,Art School Confidential,SPC,"$3,297,137",762,"$135,733",12,5/12,8/17
682,6,Summer,2006,1,Cars,BV,"$244,082,982","3,988","$60,119,509","3,985",6/9,10/19
683,6,Summer,2006,2,Superman Returns,WB,"$200,081,192","4,065","$52,535,096","4,065",6/28,11/2
684,6,Summer,2006,3,Click,SonR,"$137,355,633","3,764","$40,011,365","3,749",6/23,9/24
685,6,Summer,2006,4,The Devil Wears Prada,Fox,"$124,740,460","2,882","$27,537,244","2,847",6/30,12/14
686,6,Summer,2006,5,The Break-Up,Uni.,"$118,703,275","3,146","$39,172,785","3,070",6/2,9/7
687,6,Summer,2006,6,Nacho Libre,Par.,"$80,197,993","3,083","$28,309,599","3,070",6/16,9/4
688,6,Summer,2006,7,The Fast and the Furious: Tokyo Drift,Uni.,"$62,514,415","3,030","$23,973,840","3,027",6/16,9/7
689,6,Summer,2006,8,The Omen (2006),Fox,"$54,607,383","2,723","$16,026,496","2,723",6/6,8/31
690,6,Summer,2006,9,The Lake House,WB,"$52,330,111","2,645","$13,616,196","2,645",6/16,9/21
691,6,Summer,2006,10,Garfield: A Tail of Two Kitties,Fox,"$28,426,747","2,981","$7,288,977","2,946",6/16,9/28
692,6,Summer,2006,11,Waist Deep,Rog.,"$21,344,312","1,006","$9,404,180","1,004",6/23,8/3
693,6,Summer,2006,12,A Prairie Home Companion,PicH,"$20,342,852",767,"$4,566,293",760,6/9,10/12
694,7,Summer,2006,1,Pirates of the Caribbean: Dead Man's Chest,BV,"$423,315,812","4,133","$135,634,554","4,133",7/7,12/7
695,7,Summer,2006,2,"You, Me and Dupree",Uni.,"$75,628,110","3,137","$21,525,560","3,131",7/14,10/5
696,7,Summer,2006,3,Monster House,Sony,"$73,661,010","3,553","$22,217,226","3,553",7/21,10/22
697,7,Summer,2006,4,Miami Vice,Uni.,"$63,450,470","3,026","$25,723,815","3,021",7/28,10/5
698,7,Summer,2006,5,Little Man,SonR,"$58,645,052","2,537","$21,613,176","2,533",7/14,8/27
699,7,Summer,2006,6,Lady in the Water,WB,"$42,285,169","3,235","$18,044,396","3,235",7/21,9/28
700,7,Summer,2006,7,John Tucker Must Die,Fox,"$41,011,711","2,566","$14,276,534","2,560",7/28,11/2
701,7,Summer,2006,8,The Ant Bully,WB,"$28,142,535","3,050","$8,432,465","3,050",7/28,11/16
702,7,Summer,2006,9,Clerks II,MGM/W,"$24,148,068","2,150","$10,061,132","2,150",7/21,9/28
703,7,Summer,2006,10,My Super Ex-Girlfriend,Fox,"$22,530,295","2,702","$8,603,460","2,702",7/21,10/12
704,8,Fall,2006,1,Talladega Nights: The Ballad of Ricky Bobby,Sony,"$148,213,377","3,807","$47,042,215","3,803",8/4,10/15
705,8,Fall,2006,2,Barnyard: The Original Party Animals,Par.,"$72,637,803","3,311","$15,820,864","3,311",8/4,11/2
706,8,Fall,2006,3,World Trade Center,Par.,"$70,278,893","3,021","$18,730,762","2,957",8/9,10/19
707,8,Fall,2006,4,Step Up,BV,"$65,328,121","2,647","$20,659,573","2,467",8/11,10/19
708,8,Fall,2006,5,Little Miss Sunshine,FoxS,"$59,891,098","1,602","$370,998",7,8/18,3/29
709,8,Fall,2006,6,Invincible,BV,"$57,806,952","2,987","$17,031,122","2,917",8/25,11/16
710,8,Fall,2006,7,Accepted,Uni.,"$36,323,505","2,917","$10,023,835","2,914",8/18,10/19
711,8,Fall,2006,8,Snakes on a Plane,NL,"$34,020,814","3,555","$13,806,311","3,555",8/18,11/9
712,8,Fall,2006,9,The Descent,LGF,"$26,024,456","2,095","$8,911,330","2,095",8/4,10/12
713,8,Fall,2006,10,Pulse,W/Dim.,"$20,264,436","2,323","$8,203,822","2,323",8/11,10/12
714,8,Fall,2006,11,Beerfest,WB,"$19,185,184","2,964","$7,031,228","2,964",8/25,11/2
715,8,Fall,2006,12,How to Eat Fried Worms,NL,"$13,040,527","1,870","$4,003,537","1,870",8/25,10/12
716,8,Fall,2006,13,Idlewild,Uni.,"$12,571,185",975,"$5,745,780",973,8/25,10/5
717,8,Fall,2006,14,Zoom,SonR,"$11,989,328","2,501","$4,510,408","2,501",8/11,9/17
718,8,Fall,2006,15,Material Girls,MGM,"$11,449,638","1,509","$4,603,121","1,509",8/18,10/26
719,8,Fall,2006,16,The Night Listener,Mira.,"$7,836,393","1,370","$3,554,134","1,367",8/4,9/7
720,9,Fall,2006,1,Open Season,Sony,"$85,105,259","3,833","$23,624,548","3,833",9/29,-
721,9,Fall,2006,2,Jackass: Number Two,Par.,"$72,778,712","3,063","$29,002,002","3,059",9/22,11/30
722,9,Fall,2006,3,The Guardian,BV,"$55,011,732","3,241","$18,006,064","3,241",9/29,1/4
723,9,Fall,2006,4,The Illusionist,YFG,"$39,868,642","1,438","$927,956",51,9/1,2/15
724,9,Fall,2006,5,Gridiron Gang,Sony,"$38,432,823","3,510","$14,414,630","3,504",9/15,10/22
725,9,Fall,2006,6,Crank,LGF,"$27,838,408","2,515","$10,457,367","2,515",9/1,10/19
726,9,Fall,2006,7,Jet Li's Fearless,Rog.,"$24,633,730","1,810","$10,590,244","1,806",9/22,11/16
727,9,Fall,2006,8,The Wicker Man,WB,"$23,649,127","2,784","$9,610,204","2,784",9/1,11/16
728,9,Fall,2006,9,The Covenant,SGem,"$23,380,495","2,681","$8,852,458","2,681",9/8,10/15
729,9,Fall,2006,10,The Black Dahlia,Uni.,"$22,545,080","2,236","$10,005,895","2,226",9/15,10/26
730,9,Fall,2006,11,School for Scoundrels,MGM/W,"$17,807,569","3,007","$8,602,333","3,004",9/29,12/21
731,9,Fall,2006,12,Everyone's Hero,Fox,"$14,523,101","2,898","$6,061,762","2,896",9/15,12/7
732,9,Fall,2006,13,Hollywoodland,Focus,"$14,426,251","1,551","$5,926,177","1,548",9/8,10/26
733,9,Fall,2006,14,Flyboys,MGM,"$13,090,630","2,033","$6,004,219","2,033",9/22,12/21
734,9,Fall,2006,15,The Protector (2006),W/DD,"$12,044,087","1,541","$5,034,180","1,541",9/8,11/9
735,9,Fall,2006,16,The Last Kiss (2006),P/DW,"$11,614,790","1,359","$4,627,989","1,357",9/15,10/26
736,9,Fall,2006,17,All the King's Men,Sony,"$7,221,458","1,520","$3,672,366","1,514",9/22,10/15
737,9,Fall,2006,18,Crossover,Sony,"$7,009,668","1,023","$3,767,567","1,023",9/1,9/24
738,10,Fall,2006,1,The Departed,WB,"$132,384,315","3,017","$26,887,467","3,017",10/6,3/22
739,10,Fall,2006,2,Saw III,LGF,"$80,238,724","3,167","$33,610,391","3,167",10/27,12/14
740,10,Fall,2006,3,The Prestige,BV,"$53,089,891","2,305","$14,801,808","2,281",10/20,2/8
741,10,Fall,2006,4,The Texas Chainsaw Massacre: The Beginning,NL,"$39,517,763","2,820","$18,508,228","2,820",10/6,1/4
